Chromosome	RefSeq	GenBank	Ensembl	Length
chrUn0925	NW_003160249.1	GL019548	GL019548	42574
chrUn0926	NW_003160250.1	GL019549	GL019549	42439
chrUn0927	NW_003160251.1	AAGW02080820	AAGW02080820	42064
chrUn0928	NW_003160252.1	AAGW02080821	AAGW02080821	41997
chrUn0929	NW_003160253.1	GL019550	GL019550	42835
chrUn0930	NW_003160254.1	GL019551	GL019551	41862
chrUn0931	NW_003160255.1	AAGW02080826	AAGW02080826	41612
chrUn0932	NW_003160256.1	GL019552	GL019552	42937
chrUn0933	NW_003160257.1	GL019553	GL019553	44469
chrUn0934	NW_003160258.1	AAGW02080834	AAGW02080834	41537
chrUn0935	NW_003160259.1	GL019554	GL019554	41925
chrUn0936	NW_003160260.1	AAGW02080837	AAGW02080837	41240
chrUn0937	NW_003160261.1	GL019555	GL019555	43354
chrUn0938	NW_003160262.1	GL019556	GL019556	41958
chrUn0939	NW_003160263.1	GL019557	GL019557	55222
chrUn0940	NW_003160264.1	GL019558	GL019558	55882
chrUn0941	NW_003160265.1	GL019559	GL019559	51618
chrUn0942	NW_003160266.1	GL019560	GL019560	40762
chrUn0943	NW_003160267.1	GL019561	GL019561	41686
chrUn0944	NW_003160268.1	GL019562	GL019562	46981
chrUn0945	NW_003160269.1	GL019563	GL019563	45246
chrUn0946	NW_003160270.1	AAGW02080876	AAGW02080876	40459
chrUn0947	NW_003160271.1	GL019564	GL019564	44707
chrUn0948	NW_003160272.1	GL019565	GL019565	42138
chrUn0949	NW_003160273.1	GL019566	GL019566	63542
chrUn0950	NW_003160274.1	GL019567	GL019567	44722
chrUn0951	NW_003160275.1	GL019568	GL019568	42798
chrUn0952	NW_003160276.1	GL019569	GL019569	42516
chrUn0953	NW_003160277.1	AAGW02080908	AAGW02080908	40274
chrUn0954	NW_003160278.1	GL019570	GL019570	50598
chrUn0955	NW_003160279.1	GL019571	GL019571	43940
chrUn0956	NW_003160280.1	GL019572	GL019572	40312
chrUn0957	NW_003160281.1	GL019573	GL019573	51268
chrUn0958	NW_003160282.1	GL019574	GL019574	41507
chrUn0959	NW_003160283.1	GL019575	GL019575	40814
chrUn0960	NW_003160284.1	GL019576	GL019576	40103
chrUn0961	NW_003160285.1	AAGW02080938	AAGW02080938	39757
chrUn0962	NW_003160286.1	GL019577	GL019577	40615
chrUn0963	NW_003160287.1	AAGW02080941	AAGW02080941	39686
chrUn0964	NW_003160288.1	GL019578	GL019578	49267
chrUn0965	NW_003160289.1	GL019579	GL019579	42202
chrUn0966	NW_003160290.1	AAGW02080952	AAGW02080952	39526
chrUn0967	NW_003160291.1	GL019580	GL019580	41409
chrUn0968	NW_003160292.1	GL019581	GL019581	62737
chrUn0969	NW_003160293.1	AAGW02080961	AAGW02080961	39408
chrUn0970	NW_003160294.1	GL019582	GL019582	46158
chrUn0971	NW_003160295.1	AAGW02080967	AAGW02080967	39254
chrUn0972	NW_003160296.1	GL019583	GL019583	44316
chrUn0973	NW_003160297.1	AAGW02080975	AAGW02080975	38900
chrUn0974	NW_003160298.1	GL019584	GL019584	39824
chrUn0975	NW_003160299.1	GL019585	GL019585	38546
chrUn0976	NW_003160300.1	AAGW02080980	AAGW02080980	38241
chrUn0977	NW_003160301.1	GL019586	GL019586	38344
chrUn0978	NW_003160302.1	GL019587	GL019587	38547
chrUn0979	NW_003160303.1	GL019588	GL019588	39680
chrUn0980	NW_003160304.1	GL019589	GL019589	38911
chrUn0981	NW_003160305.1	GL019590	GL019590	39521
chrUn0982	NW_003160306.1	AAGW02080998	AAGW02080998	37816
chrUn0983	NW_003160307.1	GL019591	GL019591	38459
chrUn0984	NW_003160308.1	GL019592	GL019592	37785
chrUn0985	NW_003160309.1	GL019593	GL019593	42081
chrUn0986	NW_003160310.1	GL019594	GL019594	39742
chrUn0987	NW_003160311.1	AAGW02081012	AAGW02081012	37182
chrUn0988	NW_003160312.1	AAGW02081013	AAGW02081013	37143
chrUn0989	NW_003160313.1	GL019595	GL019595	59972
chrUn0990	NW_003160314.1	GL019596	GL019596	46941
chrUn0991	NW_003160315.1	GL019597	GL019597	42655
chrUn0992	NW_003160316.1	GL019598	GL019598	37123
chrUn0993	NW_003160317.1	GL019599	GL019599	44986
chrUn0994	NW_003160318.1	GL019600	GL019600	40225
chrUn0995	NW_003160319.1	GL019601	GL019601	37749
chrUn0996	NW_003160320.1	GL019602	GL019602	36562
chrUn0997	NW_003160321.1	GL019603	GL019603	43628
chrUn0998	NW_003160322.1	GL019604	GL019604	37607
chrUn0999	NW_003160323.1	GL019605	GL019605	45330
chrUn1000	NW_003160324.1	GL019606	GL019606	38813
chrUn1001	NW_003160325.1	GL019607	GL019607	36835
chrUn1002	NW_003160326.1	AAGW02081081	AAGW02081081	35884
chrUn1003	NW_003160327.1	GL019608	GL019608	39276
chrUn1004	NW_003160328.1	GL019609	GL019609	41283
chrUn1005	NW_003160329.1	GL019610	GL019610	38052
chrUn1006	NW_003160330.1	GL019611	GL019611	38396
chrUn1007	NW_003160331.1	GL019612	GL019612	43127
chrUn1008	NW_003160332.1	GL019613	GL019613	36955
chrUn1009	NW_003160333.1	GL019614	GL019614	36078
chrUn1010	NW_003160334.1	AAGW02081108	AAGW02081108	34932
chrUn1011	NW_003160335.1	GL019615	GL019615	35530
chrUn1012	NW_003160336.1	GL019616	GL019616	39727
chrUn1013	NW_003160337.1	GL019617	GL019617	36653
chrUn1014	NW_003160338.1	AAGW02081119	AAGW02081119	34602
chrUn1015	NW_003160339.1	GL019618	GL019618	34961
chrUn1016	NW_003160340.1	AAGW02081122	AAGW02081122	34484
chrUn1017	NW_003160341.1	AAGW02081123	AAGW02081123	34482
chrUn1018	NW_003160342.1	GL019619	GL019619	38583
chrUn1019	NW_003160343.1	GL019620	GL019620	35615
chrUn1020	NW_003160344.1	GL019621	GL019621	37095
chrUn1021	NW_003160345.1	AAGW02081136	AAGW02081136	34117
chrUn1022	NW_003160346.1	GL019622	GL019622	35706
chrUn1023	NW_003160347.1	GL019623	GL019623	63598
chrUn1024	NW_003160348.1	AAGW02081146	AAGW02081146	33719
chrUn1025	NW_003160349.1	AAGW02081147	AAGW02081147	33697
chrUn1026	NW_003160350.1	GL019624	GL019624	34253
chrUn1027	NW_003160351.1	GL019625	GL019625	34475
chrUn1028	NW_003160352.1	AAGW02081154	AAGW02081154	33525
chrUn1029	NW_003160353.1	AAGW02081155	AAGW02081155	33487
chrUn1030	NW_003160354.1	AAGW02081156	AAGW02081156	33348
chrUn1031	NW_003160355.1	AAGW02081157	AAGW02081157	33216
chrUn1032	NW_003160356.1	AAGW02081158	AAGW02081158	33150
chrUn1033	NW_003160357.1	AAGW02081159	AAGW02081159	33135
chrUn1034	NW_003160358.1	AAGW02081160	AAGW02081160	33050
chrUn1035	NW_003160359.1	AAGW02081161	AAGW02081161	33031
chrUn1036	NW_003160360.1	GL019626	GL019626	34022
chrUn1037	NW_003160361.1	GL019627	GL019627	48947
chrUn1038	NW_003160362.1	AAGW02081169	AAGW02081169	32902
chrUn1039	NW_003160363.1	GL019628	GL019628	32959
chrUn1040	NW_003160364.1	GL019629	GL019629	34155
chrUn1041	NW_003160365.1	GL019630	GL019630	32913
chrUn1042	NW_003160366.1	GL019631	GL019631	33906
chrUn1043	NW_003160367.1	GL019632	GL019632	37318
chrUn1044	NW_003160368.1	GL019633	GL019633	37175
chrUn1045	NW_003160369.1	GL019634	GL019634	32843
chrUn1046	NW_003160370.1	GL019635	GL019635	34517
chrUn1047	NW_003160371.1	GL019636	GL019636	37733
chrUn1048	NW_003160372.1	GL019637	GL019637	35403
chrUn1049	NW_003160373.1	GL019638	GL019638	33460
chrUn1050	NW_003160374.1	AAGW02081206	AAGW02081206	32403
chrUn1051	NW_003160375.1	GL019639	GL019639	32615
chrUn1052	NW_003160376.1	AAGW02081209	AAGW02081209	32066
chrUn1053	NW_003160377.1	GL019640	GL019640	34185
chrUn1054	NW_003160378.1	AAGW02081215	AAGW02081215	31993
chrUn1055	NW_003160379.1	GL019641	GL019641	57291
chrUn1056	NW_003160380.1	GL019642	GL019642	33902
chrUn1057	NW_003160381.1	AAGW02081221	AAGW02081221	31939
chrUn1058	NW_003160382.1	AAGW02081222	AAGW02081222	31922
chrUn1059	NW_003160383.1	GL019643	GL019643	32202
chrUn1060	NW_003160384.1	GL019644	GL019644	34073
chrUn1061	NW_003160385.1	GL019645	GL019645	33331
chrUn1062	NW_003160386.1	AAGW02081234	AAGW02081234	31639
chrUn1063	NW_003160387.1	GL019646	GL019646	31926
chrUn1064	NW_003160388.1	AAGW02081237	AAGW02081237	31333
chrUn1065	NW_003160389.1	AAGW02081238	AAGW02081238	31303
chrUn1066	NW_003160390.1	AAGW02081239	AAGW02081239	31295
chrUn1067	NW_003160391.1	GL019647	GL019647	31265
chrUn1068	NW_003160392.1	GL019648	GL019648	32251
chrUn1069	NW_003160393.1	AAGW02081246	AAGW02081246	31062
chrUn1070	NW_003160394.1	AAGW02081247	AAGW02081247	31023
chrUn1071	NW_003160395.1	GL019649	GL019649	31336
chrUn1072	NW_003160396.1	GL019650	GL019650	30942
chrUn1073	NW_003160397.1	AAGW02081253	AAGW02081253	30827
chrUn1074	NW_003160398.1	GL019651	GL019651	31618
chrUn1075	NW_003160399.1	GL019652	GL019652	31940
chrUn1076	NW_003160400.1	GL019653	GL019653	32369
chrUn1077	NW_003160401.1	AAGW02081264	AAGW02081264	30747
chrUn1078	NW_003160402.1	GL019654	GL019654	30790
chrUn1079	NW_003160403.1	GL019655	GL019655	33521
chrUn1080	NW_003160404.1	GL019656	GL019656	36771
chrUn1081	NW_003160405.1	AAGW02081278	AAGW02081278	30578
chrUn1082	NW_003160406.1	GL019657	GL019657	31136
chrUn1083	NW_003160407.1	AAGW02081282	AAGW02081282	30351
chrUn1084	NW_003160408.1	GL019658	GL019658	31549
chrUn1085	NW_003160409.1	GL019659	GL019659	30946
chrUn1086	NW_003160410.1	GL019660	GL019660	31834
chrUn1087	NW_003160411.1	GL019661	GL019661	32920
chrUn1088	NW_003160412.1	AAGW02081298	AAGW02081298	29947
chrUn1089	NW_003160413.1	GL019662	GL019662	30222
chrUn1090	NW_003160414.1	GL019663	GL019663	30113
chrUn1091	NW_003160415.1	AAGW02081303	AAGW02081303	29819
chrUn1092	NW_003160416.1	AAGW02081304	AAGW02081304	29761
chrUn1093	NW_003160417.1	AAGW02081305	AAGW02081305	29688
chrUn1094	NW_003160418.1	AAGW02081306	AAGW02081306	29684
chrUn1095	NW_003160419.1	GL019664	GL019664	29869
chrUn1096	NW_003160420.1	GL019665	GL019665	29862
chrUn1097	NW_003160421.1	GL019666	GL019666	30863
chrUn1098	NW_003160422.1	GL019667	GL019667	43212
chrUn1099	NW_003160423.1	GL019668	GL019668	66683
chrUn1100	NW_003160424.1	GL019669	GL019669	29970
chrUn1101	NW_003160425.1	AAGW02081327	AAGW02081327	29459
chrUn1102	NW_003160426.1	GL019670	GL019670	30983
chrUn1103	NW_003160427.1	GL019671	GL019671	30302
chrUn1104	NW_003160428.1	AAGW02081335	AAGW02081335	29261
chrUn1105	NW_003160429.1	AAGW02081336	AAGW02081336	29119
chrUn1106	NW_003160430.1	AAGW02081337	AAGW02081337	29036
chrUn1107	NW_003160431.1	GL019672	GL019672	30803
chrUn1108	NW_003160432.1	AAGW02081341	AAGW02081341	28969
chrUn1109	NW_003160433.1	GL019673	GL019673	47740
chrUn1110	NW_003160434.1	GL019674	GL019674	30488
chrUn1111	NW_003160435.1	AAGW02081354	AAGW02081354	28920
chrUn1112	NW_003160436.1	GL019675	GL019675	28919
chrUn1113	NW_003160437.1	GL019676	GL019676	30386
chrUn1114	NW_003160438.1	AAGW02081359	AAGW02081359	28761
chrUn1115	NW_003160439.1	GL019677	GL019677	31701
chrUn1116	NW_003160440.1	AAGW02081364	AAGW02081364	28705
chrUn1117	NW_003160441.1	GL019678	GL019678	43875
chrUn1118	NW_003160442.1	AAGW02081368	AAGW02081368	28660
chrUn1119	NW_003160443.1	GL019679	GL019679	46005
chrUn1120	NW_003160444.1	GL019680	GL019680	28923
chrUn1121	NW_003160445.1	GL019681	GL019681	28709
chrUn1122	NW_003160446.1	GL019682	GL019682	31551
chrUn1123	NW_003160447.1	GL019683	GL019683	30287
chrUn1124	NW_003160448.1	GL019684	GL019684	36677
chrUn1125	NW_003160449.1	GL019685	GL019685	30097
chrUn1126	NW_003160450.1	GL019686	GL019686	30353
chrUn1127	NW_003160451.1	AAGW02081395	AAGW02081395	28241
chrUn1128	NW_003160452.1	GL019687	GL019687	28504
chrUn1129	NW_003160453.1	GL019688	GL019688	28257
chrUn1130	NW_003160454.1	AAGW02081400	AAGW02081400	27955
chrUn1131	NW_003160455.1	AAGW02081401	AAGW02081401	27942
chrUn1132	NW_003160456.1	GL019689	GL019689	27992
chrUn1134	NW_003160457.1	AAGW02081405	AAGW02081405	27663
chrUn1135	NW_003160458.1	AAGW02081406	AAGW02081406	27642
chrUn1136	NW_003160459.1	GL019690	GL019690	28976
chrUn1137	NW_003160460.1	AAGW02081411	AAGW02081411	27532
chrUn1138	NW_003160461.1	AAGW02081412	AAGW02081412	27526
chrUn1139	NW_003160462.1	GL019691	GL019691	31638
chrUn1140	NW_003160463.1	GL019692	GL019692	28731
chrUn1141	NW_003160464.1	AAGW02081422	AAGW02081422	27376
chrUn1142	NW_003160465.1	GL019693	GL019693	28587
chrUn1143	NW_003160466.1	AAGW02081425	AAGW02081425	27317
chrUn1144	NW_003160467.1	GL019694	GL019694	27431
chrUn1145	NW_003160468.1	GL019695	GL019695	30567
chrUn1146	NW_003160469.1	GL019696	GL019696	28997
chrUn1147	NW_003160470.1	GL019697	GL019697	31963
chrUn1148	NW_003160471.1	AAGW02081438	AAGW02081438	27097
chrUn1149	NW_003160472.1	GL019698	GL019698	28748
chrUn1150	NW_003160473.1	GL019699	GL019699	29162
chrUn1151	NW_003160474.1	GL019700	GL019700	27191
chrUn1152	NW_003160475.1	GL019701	GL019701	29188
chrUn1153	NW_003160476.1	GL019702	GL019702	30378
chrUn1154	NW_003160477.1	AAGW02081456	AAGW02081456	26896
chrUn1155	NW_003160478.1	GL019703	GL019703	27108
chrUn1156	NW_003160479.1	GL019704	GL019704	27629
chrUn1157	NW_003160480.1	GL019705	GL019705	27717
chrUn1158	NW_003160481.1	GL019706	GL019706	30313
chrUn1159	NW_003160482.1	AAGW02081469	AAGW02081469	26680
chrUn1160	NW_003160483.1	GL019707	GL019707	27280
chrUn1161	NW_003160484.1	AAGW02081473	AAGW02081473	26583
chrUn1162	NW_003160485.1	GL019708	GL019708	29940
chrUn1163	NW_003160486.1	AAGW02081479	AAGW02081479	26405
chrUn1164	NW_003160487.1	AAGW02081480	AAGW02081480	26398
chrUn1165	NW_003160488.1	AAGW02081481	AAGW02081481	26392
chrUn1166	NW_003160489.1	AAGW02081482	AAGW02081482	26328
chrUn1167	NW_003160490.1	GL019709	GL019709	26993
chrUn1168	NW_003160491.1	AAGW02081485	AAGW02081485	26298
chrUn1169	NW_003160492.1	AAGW02081486	AAGW02081486	26292
chrUn1170	NW_003160493.1	GL019710	GL019710	26608
chrUn1171	NW_003160494.1	GL019711	GL019711	26376
chrUn1172	NW_003160495.1	AAGW02081491	AAGW02081491	26274
chrUn1173	NW_003160496.1	GL019712	GL019712	26333
chrUn1174	NW_003160497.1	AAGW02081494	AAGW02081494	26205
chrUn1175	NW_003160498.1	AAGW02081495	AAGW02081495	26182
chrUn1176	NW_003160499.1	AAGW02081496	AAGW02081496	26151
chrUn1177	NW_003160500.1	GL019713	GL019713	28253
chrUn1178	NW_003160501.1	AAGW02081500	AAGW02081500	26067
chrUn1179	NW_003160502.1	GL019714	GL019714	27110
chrUn1180	NW_003160503.1	AAGW02081504	AAGW02081504	25866
chrUn1181	NW_003160504.1	GL019715	GL019715	25948
chrUn1182	NW_003160505.1	AAGW02081508	AAGW02081508	25718
chrUn1183	NW_003160506.1	GL019716	GL019716	26090
chrUn1184	NW_003160507.1	GL019717	GL019717	31289
chrUn1185	NW_003160508.1	GL019718	GL019718	49315
chrUn1186	NW_003160509.1	GL019719	GL019719	25949
chrUn1187	NW_003160510.1	AAGW02081520	AAGW02081520	25538
chrUn1188	NW_003160511.1	GL019720	GL019720	25894
chrUn1189	NW_003160512.1	GL019721	GL019721	31205
chrUn1190	NW_003160513.1	GL019722	GL019722	25779
chrUn1191	NW_003160514.1	GL019723	GL019723	28543
chrUn1192	NW_003160515.1	GL019724	GL019724	27076
chrUn1193	NW_003160516.1	GL019725	GL019725	55588
chrUn1194	NW_003160517.1	GL019726	GL019726	27315
chrUn1195	NW_003160518.1	GL019727	GL019727	31746
chrUn1196	NW_003160519.1	AAGW02081549	AAGW02081549	25232
chrUn1197	NW_003160520.1	AAGW02081550	AAGW02081550	25213
chrUn1198	NW_003160521.1	GL019728	GL019728	26481
chrUn1199	NW_003160522.1	GL019729	GL019729	26190
chrUn1200	NW_003160523.1	GL019730	GL019730	26966
chrUn1201	NW_003160524.1	GL019731	GL019731	26891
chrUn1202	NW_003160525.1	GL019732	GL019732	25318
chrUn1203	NW_003160526.1	AAGW02081566	AAGW02081566	25053
chrUn1204	NW_003160527.1	GL019733	GL019733	26010
chrUn1205	NW_003160528.1	GL019734	GL019734	25435
chrUn1206	NW_003160529.1	GL019735	GL019735	26902
chrUn1207	NW_003160530.1	AAGW02081576	AAGW02081576	24954
chrUn1208	NW_003160531.1	AAGW02081577	AAGW02081577	24902
chrUn1209	NW_003160532.1	AAGW02081578	AAGW02081578	24887
chrUn1210	NW_003160533.1	GL019736	GL019736	25378
chrUn1211	NW_003160534.1	AAGW02081581	AAGW02081581	24796
chrUn1212	NW_003160535.1	AAGW02081582	AAGW02081582	24765
chrUn1213	NW_003160536.1	GL019737	GL019737	25053
chrUn1214	NW_003160537.1	GL019738	GL019738	24869
chrUn1215	NW_003160538.1	GL019739	GL019739	53880
chrUn1216	NW_003160539.1	GL019740	GL019740	25879
chrUn1217	NW_003160540.1	AAGW02081593	AAGW02081593	24618
chrUn1218	NW_003160541.1	AAGW02081594	AAGW02081594	24576
chrUn1219	NW_003160542.1	GL019741	GL019741	24627
chrUn1220	NW_003160543.1	GL019742	GL019742	26152
chrUn1221	NW_003160544.1	AAGW02081600	AAGW02081600	24390
chrUn1222	NW_003160545.1	AAGW02081601	AAGW02081601	24281
chrUn1223	NW_003160546.1	GL019743	GL019743	25741
chrUn1224	NW_003160547.1	GL019744	GL019744	25727
chrUn1225	NW_003160548.1	AAGW02081606	AAGW02081606	24198
chrUn1226	NW_003160549.1	AAGW02081607	AAGW02081607	24147
chrUn1227	NW_003160550.1	GL019745	GL019745	24532
chrUn1228	NW_003160551.1	GL019746	GL019746	61328
chrUn1229	NW_003160552.1	AAGW02081616	AAGW02081616	23927
chrUn1230	NW_003160553.1	AAGW02081617	AAGW02081617	23881
chrUn1231	NW_003160554.1	AAGW02081618	AAGW02081618	23867
chrUn1232	NW_003160555.1	GL019747	GL019747	26681
chrUn1233	NW_003160556.1	GL019748	GL019748	23874
chrUn1234	NW_003160557.1	AAGW02081624	AAGW02081624	23690
chrUn1235	NW_003160558.1	GL019749	GL019749	24630
chrUn1236	NW_003160559.1	AAGW02081629	AAGW02081629	23667
chrUn1237	NW_003160560.1	GL019750	GL019750	29174
chrUn1238	NW_003160561.1	GL019751	GL019751	25488
chrUn1239	NW_003160562.1	AAGW02081636	AAGW02081636	23513
chrUn1240	NW_003160563.1	AAGW02081637	AAGW02081637	23500
chrUn1241	NW_003160564.1	AAGW02081638	AAGW02081638	23454
chrUn1242	NW_003160565.1	GL019752	GL019752	25420
chrUn1243	NW_003160566.1	GL019753	GL019753	24161
chrUn1244	NW_003160567.1	GL019754	GL019754	24100
chrUn1245	NW_003160568.1	GL019755	GL019755	26782
chrUn1246	NW_003160569.1	GL019756	GL019756	23518
chrUn1247	NW_003160570.1	AAGW02081653	AAGW02081653	23307
chrUn1248	NW_003160571.1	GL019757	GL019757	24022
chrUn1249	NW_003160572.1	GL019758	GL019758	23376
chrUn1250	NW_003160573.1	GL019759	GL019759	24218
chrUn1251	NW_003160574.1	GL019760	GL019760	23305
chrUn1252	NW_003160575.1	GL019761	GL019761	31264
chrUn1253	NW_003160576.1	GL019762	GL019762	24476
chrUn1254	NW_003160577.1	GL019763	GL019763	23700
chrUn1255	NW_003160578.1	GL019764	GL019764	23393
chrUn1256	NW_003160579.1	GL019765	GL019765	23335
chrUn1257	NW_003160580.1	AAGW02081676	AAGW02081676	22997
chrUn1258	NW_003160581.1	GL019766	GL019766	26157
chrUn1259	NW_003160582.1	GL019767	GL019767	42649
chrUn1260	NW_003160583.1	AAGW02081684	AAGW02081684	22891
chrUn1261	NW_003160584.1	AAGW02081685	AAGW02081685	22891
chrUn1262	NW_003160585.1	AAGW02081686	AAGW02081686	22879
chrUn1263	NW_003160586.1	GL019768	GL019768	24986
chrUn1264	NW_003160587.1	AAGW02081690	AAGW02081690	22846
chrUn1265	NW_003160588.1	AAGW02081691	AAGW02081691	22820
chrUn1266	NW_003160589.1	GL019769	GL019769	23461
chrUn1267	NW_003160590.1	AAGW02081694	AAGW02081694	22763
chrUn1268	NW_003160591.1	GL019770	GL019770	24564
chrUn1269	NW_003160592.1	AAGW02081698	AAGW02081698	22700
chrUn1270	NW_003160593.1	GL019771	GL019771	27238
chrUn1271	NW_003160594.1	AAGW02081704	AAGW02081704	22684
chrUn1272	NW_003160595.1	AAGW02081705	AAGW02081705	22657
chrUn1273	NW_003160596.1	AAGW02081706	AAGW02081706	22649
chrUn1274	NW_003160597.1	GL019772	GL019772	24564
chrUn1275	NW_003160598.1	GL019773	GL019773	24689
chrUn1276	NW_003160599.1	GL019774	GL019774	24165
chrUn1277	NW_003160600.1	GL019775	GL019775	22777
chrUn1278	NW_003160601.1	GL019776	GL019776	23042
chrUn1279	NW_003160602.1	GL019777	GL019777	22901
chrUn1280	NW_003160603.1	GL019778	GL019778	26839
chrUn1281	NW_003160604.1	GL019779	GL019779	23342
chrUn1282	NW_003160605.1	GL019780	GL019780	22856
chrUn1283	NW_003160606.1	GL019781	GL019781	26778
chrUn1284	NW_003160607.1	GL019782	GL019782	22494
chrUn1285	NW_003160608.1	GL019783	GL019783	24469
chrUn1286	NW_003160609.1	GL019784	GL019784	23250
chrUn1287	NW_003160610.1	GL019785	GL019785	22764
chrUn1288	NW_003160611.1	GL019786	GL019786	22443
chrUn1289	NW_003160612.1	GL019787	GL019787	22413
chrUn1290	NW_003160613.1	AAGW02081745	AAGW02081745	22299
chrUn1291	NW_003160614.1	GL019788	GL019788	22455
chrUn1292	NW_003160615.1	AAGW02081748	AAGW02081748	22156
chrUn1293	NW_003160616.1	AAGW02081749	AAGW02081749	22122
chrUn1294	NW_003160617.1	GL019789	GL019789	22272
chrUn1295	NW_003160618.1	AAGW02081752	AAGW02081752	22112
chrUn1296	NW_003160619.1	GL019790	GL019790	22348
chrUn1297	NW_003160620.1	GL019791	GL019791	24568
chrUn1298	NW_003160621.1	AAGW02081759	AAGW02081759	22099
chrUn1299	NW_003160622.1	AAGW02081760	AAGW02081760	22048
chrUn1300	NW_003160623.1	GL019792	GL019792	23019
chrUn1301	NW_003160624.1	AAGW02081763	AAGW02081763	22009
chrUn1302	NW_003160625.1	AAGW02081764	AAGW02081764	21986
chrUn1303	NW_003160626.1	GL019793	GL019793	22586
chrUn1304	NW_003160627.1	GL019794	GL019794	22798
chrUn1305	NW_003160628.1	AAGW02081770	AAGW02081770	21913
chrUn1306	NW_003160629.1	GL019795	GL019795	22616
chrUn1307	NW_003160630.1	GL019796	GL019796	24749
chrUn1308	NW_003160631.1	GL019797	GL019797	22540
chrUn1309	NW_003160632.1	GL019798	GL019798	24796
chrUn1310	NW_003160633.1	GL019799	GL019799	47910
chrUn1311	NW_003160634.1	AAGW02081789	AAGW02081789	21762
chrUn1312	NW_003160635.1	AAGW02081790	AAGW02081790	21738
chrUn1313	NW_003160636.1	GL019800	GL019800	28050
chrUn1314	NW_003160637.1	GL019801	GL019801	22126
chrUn1315	NW_003160638.1	GL019802	GL019802	26288
chrUn1316	NW_003160639.1	AAGW02081804	AAGW02081804	21556
chrUn1317	NW_003160640.1	GL019803	GL019803	23099
chrUn1318	NW_003160641.1	AAGW02081808	AAGW02081808	21458
chrUn1319	NW_003160642.1	GL019804	GL019804	22439
chrUn1320	NW_003160643.1	GL019805	GL019805	21701
chrUn1321	NW_003160644.1	AAGW02081815	AAGW02081815	21223
chrUn1322	NW_003160645.1	AAGW02081816	AAGW02081816	21212
chrUn1323	NW_003160646.1	AAGW02081817	AAGW02081817	21175
chrUn1324	NW_003160647.1	AAGW02081818	AAGW02081818	21166
chrUn1325	NW_003160648.1	GL019806	GL019806	22802
chrUn1326	NW_003160649.1	AAGW02081822	AAGW02081822	21105
chrUn1327	NW_003160650.1	GL019807	GL019807	21634
chrUn1328	NW_003160651.1	GL019808	GL019808	21163
chrUn1329	NW_003160652.1	GL019809	GL019809	25970
chrUn1330	NW_003160653.1	GL019810	GL019810	21061
chrUn1331	NW_003160654.1	AAGW02081834	AAGW02081834	20863
chrUn1332	NW_003160655.1	AAGW02081835	AAGW02081835	20855
chrUn1333	NW_003160656.1	GL019811	GL019811	22893
chrUn1334	NW_003160657.1	GL019812	GL019812	23029
chrUn1335	NW_003160658.1	GL019813	GL019813	21010
chrUn1336	NW_003160659.1	AAGW02081846	AAGW02081846	20746
chrUn1337	NW_003160660.1	AAGW02081847	AAGW02081847	20718
chrUn1338	NW_003160661.1	GL019814	GL019814	23719
chrUn1339	NW_003160662.1	AAGW02081851	AAGW02081851	20637
chrUn1340	NW_003160663.1	GL019815	GL019815	23909
chrUn1341	NW_003160664.1	GL019816	GL019816	21607
chrUn1342	NW_003160665.1	GL019817	GL019817	21028
chrUn1343	NW_003160666.1	AAGW02081860	AAGW02081860	20586
chrUn1344	NW_003160667.1	AAGW02081861	AAGW02081861	20567
chrUn1345	NW_003160668.1	GL019818	GL019818	20642
chrUn1346	NW_003160669.1	GL019819	GL019819	21201
chrUn1347	NW_003160670.1	AAGW02081866	AAGW02081866	20488
chrUn1348	NW_003160671.1	GL019820	GL019820	23698
chrUn1349	NW_003160672.1	AAGW02081871	AAGW02081871	20461
chrUn1350	NW_003160673.1	GL019821	GL019821	23297
chrUn1351	NW_003160674.1	GL019822	GL019822	21272
chrUn1352	NW_003160675.1	AAGW02081878	AAGW02081878	20450
chrUn1353	NW_003160676.1	GL019823	GL019823	21897
chrUn1354	NW_003160677.1	AAGW02081883	AAGW02081883	20424
chrUn1355	NW_003160678.1	GL019824	GL019824	23002
chrUn1356	NW_003160679.1	AAGW02081888	AAGW02081888	20335
chrUn1357	NW_003160680.1	GL019825	GL019825	24829
chrUn1358	NW_003160681.1	AAGW02081892	AAGW02081892	20274
chrUn1359	NW_003160682.1	AAGW02081893	AAGW02081893	20255
chrUn1360	NW_003160683.1	AAGW02081894	AAGW02081894	20237
chrUn1361	NW_003160684.1	AAGW02081895	AAGW02081895	20185
chrUn1362	NW_003160685.1	AAGW02081896	AAGW02081896	20151
chrUn1363	NW_003160686.1	AAGW02081897	AAGW02081897	20146
chrUn1364	NW_003160687.1	GL019826	GL019826	22581
chrUn1365	NW_003160688.1	GL019827	GL019827	20455
chrUn1366	NW_003160689.1	GL019828	GL019828	20395
chrUn1367	NW_003160690.1	AAGW02081905	AAGW02081905	20108
chrUn1368	NW_003160691.1	AAGW02081906	AAGW02081906	20057
chrUn1369	NW_003160692.1	AAGW02081907	AAGW02081907	20029
chrUn1370	NW_003160693.1	GL019829	GL019829	21624
chrUn1371	NW_003160694.1	GL019830	GL019830	20754
chrUn1372	NW_003160695.1	GL019831	GL019831	22227
chrUn1373	NW_003160696.1	GL019832	GL019832	22608
